DEV_MIN_TDP,EXTREME_Q,TDP_RANGE_ATR_MAX,trades_total,winrate,tdp_trades,tdp_wr,tdp_top_trades,tdp_top_wr,tdp_bot_trades,tdp_bot_wr
6,0.25,18.0,254,0.10236220472440945,254,0.10236220472440945,125,0.112,129,0.09302325581395349
4,0.25,18.0,642,0.09813084112149532,642,0.09813084112149532,319,0.10031347962382445,323,0.09597523219814241
6,0.25,14.0,226,0.09734513274336283,226,0.09734513274336283,109,0.10091743119266056,117,0.09401709401709402
4,0.2,18.0,610,0.09672131147540984,610,0.09672131147540984,308,0.10064935064935066,302,0.09271523178807947
4,0.25,14.0,575,0.09565217391304348,575,0.09565217391304348,284,0.09507042253521127,291,0.09621993127147767
6,0.2,18.0,242,0.09504132231404959,242,0.09504132231404959,121,0.10743801652892562,121,0.08264462809917356
5,0.25,18.0,405,0.09382716049382717,405,0.09382716049382717,202,0.10396039603960396,203,0.08374384236453201
4,0.2,14.0,545,0.09357798165137615,545,0.09357798165137615,275,0.09454545454545454,270,0.09259259259259259
5,0.25,14.0,358,0.09217877094972067,358,0.09217877094972067,178,0.09550561797752809,180,0.08888888888888889
3,0.25,18.0,840,0.09047619047619047,840,0.09047619047619047,405,0.09876543209876543,435,0.08275862068965517
5,0.2,18.0,387,0.09043927648578812,387,0.09043927648578812,195,0.10256410256410256,192,0.078125
3,0.25,14.0,759,0.08959156785243742,759,0.08959156785243742,357,0.09803921568627451,402,0.08208955223880597
6,0.2,14.0,214,0.08878504672897196,214,0.08878504672897196,105,0.09523809523809523,109,0.08256880733944955
5,0.2,14.0,342,0.08771929824561403,342,0.08771929824561403,173,0.09248554913294797,169,0.08284023668639054
3,0.2,18.0,791,0.08723135271807839,791,0.08723135271807839,387,0.09819121447028424,404,0.07673267326732673
3,0.2,14.0,714,0.08543417366946779,714,0.08543417366946779,343,0.09620991253644315,371,0.07547169811320754
4,0.2,6.0,24,0.08333333333333333,24,0.08333333333333333,7,0.14285714285714285,17,0.058823529411764705
4,0.15,18.0,541,0.08133086876155268,541,0.08133086876155268,271,0.08487084870848709,270,0.07777777777777778
2,0.25,18.0,1052,0.08079847908745247,1052,0.08079847908745247,503,0.0874751491053678,549,0.07468123861566485
4,0.15,14.0,485,0.08041237113402062,485,0.08041237113402062,243,0.0823045267489712,242,0.07851239669421488
4,0.25,6.0,25,0.08,25,0.08,7,0.14285714285714285,18,0.05555555555555555
2,0.25,14.0,951,0.07886435331230283,951,0.07886435331230283,441,0.08616780045351474,510,0.07254901960784314
5,0.15,14.0,305,0.07868852459016394,305,0.07868852459016394,155,0.09032258064516129,150,0.06666666666666667
5,0.15,18.0,344,0.07848837209302326,344,0.07848837209302326,174,0.09195402298850575,170,0.06470588235294118
2,0.2,18.0,975,0.07794871794871795,975,0.07794871794871795,469,0.08742004264392324,506,0.0691699604743083
6,0.25,10.0,116,0.07758620689655173,116,0.07758620689655173,53,0.07547169811320754,63,0.07936507936507936
6,0.15,18.0,221,0.07692307692307693,221,0.07692307692307693,110,0.09090909090909091,111,0.06306306306306306
4,0.1,6.0,13,0.07692307692307693,13,0.07692307692307693,2,0.0,11,0.09090909090909091
4,0.2,10.0,314,0.07643312101910828,314,0.07643312101910828,150,0.08666666666666667,164,0.06707317073170732
4,0.25,10.0,331,0.0755287009063444,331,0.0755287009063444,153,0.08496732026143791,178,0.06741573033707865
3,0.15,14.0,627,0.07496012759170653,627,0.07496012759170653,300,0.08666666666666667,327,0.06422018348623854
3,0.15,18.0,694,0.07492795389048991,694,0.07492795389048991,338,0.08579881656804733,356,0.06460674157303371
