idx,timestamp,reason,side,entry,sl,tp,rr,score,notes,outcome,exit_price,exit_idx,bars_held,ctx_label,ctx_sub_label,ctx_tts_dir,ctx_tdp_dir,htf_trend,impulse_atr,range_width_atr,dev_count,pos_in_range,atr,range_hi,range_lo,dev_up,dev_dn
247,2025-02-11 19:00:00,OK,LONG,95363.3,95333.1,95453.9,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95333.1,248,1,TDP,TDP_BOT,,LONG,UP,6.164280435987394,10.105902457047774,5.0,0.009661217569339117,309.3142857142874,98459.0,95354.4,False,False
249,2025-02-11 19:30:00,OK,LONG,95010.2,94821.9,95575.1,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95010.2,250,1,TDP,TDP_BOT,,LONG,UP,6.7562724014336535,10.863500597371521,6.0,0.051772016166726956,334.8000000000019,98459.0,94900.0,False,False
278,2025-02-12 02:45:00,OK,LONG,95531.7,95266.6,96326.99999999996,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95266.6,279,1,TDP,TDP_BOT,,LONG,DOWN,10.99051754940501,13.883791880823583,5.0,0.1967240375821074,259.87857142856956,98446.4,94821.9,False,False
279,2025-02-12 03:00:00,OK,LONG,95346.3,95050.0,96235.2,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95346.3,280,1,TDP,TDP_BOT,,LONG,DOWN,10.437206734750244,12.674930369106571,5.0,0.14533965244865937,284.66428571428384,98430.0,94821.9,False,False
707,2025-02-16 14:00:00,OK,LONG,96798.8,96636.0,97287.2,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96798.8,723,16,TDP,TDP_BOT,,LONG,UP,4.191278345377502,7.423872414652379,5.0,0.15300751879699523,143.32142857142858,97700.0,96713.8,False,True
745,2025-02-16 23:30:00,OK,LONG,96129.6,96000.0,96518.40000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96000.0,747,2,TDP,TDP_BOT,,LONG,UP,5.59814043349635,6.847431020950347,8.0,0.07999012467596966,236.61428571428405,97620.2,96108.5,False,False
747,2025-02-17 00:00:00,OK,LONG,96152.5,95980.1,96669.69999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96152.5,748,1,TDP,TDP_BOT,,LONG,UP,5.407230737907578,6.678514295686581,8.0,0.10511554173525706,245.57857142856977,97620.2,96000.0,False,False
764,2025-02-17 04:15:00,OK,LONG,96172.5,95936.0,96882.0,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95936.0,767,3,TDP,TDP_BOT,,LONG,DOWN,5.614303959131511,7.617400054181606,7.0,0.16821964577850557,184.56428571428634,97341.9,95980.1,False,False
811,2025-02-17 16:00:00,OK,LONG,95569.3,95461.8,95891.8,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95461.8,812,1,TDP,TDP_BOT,,LONG,DOWN,4.833132800151019,5.89699672069267,4.0,0.06021059706508365,302.7642857142845,97247.2,95514.7,False,False
813,2025-02-17 16:30:00,OK,LONG,95482.9,95312.3,95994.69999999995,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95312.3,814,1,TDP,TDP_BOT,,LONG,DOWN,4.428951042651926,6.100211683105901,4.0,0.0881699312625933,317.1857142857126,97247.2,95410.0,False,False
