idx,timestamp,reason,side,entry,sl,tp,rr,score,notes,outcome,exit_price,exit_idx,bars_held,ctx_label,ctx_sub_label,htf_trend,ctx_tts_dir,ctx_tdp_dir,impulse_atr,range_width_atr,dev_count,pos_in_range
811,2025-02-17 16:00:00,OK,LONG,95569.3,95461.8,95891.8,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95461.8,812,1,TDP,TDP_BOT,DOWN,,LONG,4.833132800151019,5.89699672069267,4.0,0.06021059706508365
822,2025-02-17 18:45:00,OK,LONG,95294.9,95208.9,95552.9,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95294.9,823,1,TDP,TDP_BOT,DOWN,,LONG,4.745500375889969,5.5082474682704845,4.0,0.048330898055524096
1108,2025-02-20 18:15:00,OK,SHORT,98248.9,98399.9,97795.9,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,98248.9,1109,1,TDP,TDP_TOP,UP,,SHORT,4.9699264516384725,5.822254822274611,6.0,0.9280198302984075
1109,2025-02-20 18:30:00,OK,SHORT,98232.2,98400.0,97728.8,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,98400.0,1112,3,TDP,TDP_TOP,UP,,SHORT,5.13014578448363,5.747578754205322,6.0,0.9166625279364277
1436,2025-02-24 04:15:00,OK,LONG,95336.2,95258.0,95570.8,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95258.0,1437,1,TDP,TDP_BOT,DOWN,,LONG,3.4855339295108223,4.496931439593217,6.0,0.06410356390859931
2448,2025-03-06 17:15:00,OK,LONG,88698.9,88308.0,89871.59999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,88308.0,2449,1,TDP,TDP_BOT,UP,,LONG,1.8138703446406252,5.306042224406131,4.0,0.08737929184549215
2449,2025-03-06 17:30:00,OK,LONG,88433.8,88200.2,89134.60000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,88433.8,2450,1,TDP,TDP_BOT,UP,,LONG,1.9329340724608985,5.290998482148768,4.0,0.0509887807220512
11183,2025-06-05 17:00:00,OK,LONG,103366.4,103100.0,104165.59999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,103100.0,11187,4,TDP,TDP_BOT,DOWN,,LONG,2.836754176610997,5.777714797136032,4.0,0.09628799653016029
11876,2025-06-12 22:15:00,OK,LONG,105828.9,105672.0,106299.59999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,105672.0,11878,2,TDP,TDP_BOT,UP,,LONG,5.389724577775885,5.799377849746453,8.0,0.053801049274763924
11878,2025-06-12 22:45:00,OK,LONG,105830.1,105644.3,106387.5,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,105830.1,11879,1,TDP,TDP_BOT,UP,,LONG,5.070002169040549,5.578743402501621,8.0,0.0674238850382854
21589,2025-09-22 02:30:00,OK,LONG,114249.2,114079.8,114757.39999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,WIN,114588.0,21594,5,TDP,TDP_BOT,UP,,LONG,5.0100529619458865,5.834935268732876,4.0,0.09965878338627715
26943,2025-11-16 21:00:00,OK,LONG,93733.2,93543.4,94302.6,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,93543.4,26944,1,TDP,TDP_BOT,DOWN,,LONG,3.0006118346298356,5.3343239227340185,4.0,0.0621989185646413
26944,2025-11-16 21:15:00,OK,LONG,93635.4,93540.0,93921.59999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,93635.4,26945,1,TDP,TDP_BOT,DOWN,,LONG,3.266357493043593,5.6669670067576305,4.0,0.031228518118430835
