period,timestamp,symbol,model,side,ctx_sub_label,phase,entry,sl,tp,exit_price,R
2025-12,2025-12-29 04:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,90056.8,90254.61178571428,89661.17642857145,90254.61178571428,-1.0
2025-12,2025-12-29 04:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,90108.8,90487.23928571428,89351.92142857144,89351.92142857144,2.0
2025-12,2025-12-29 05:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,90050.0,90487.96785714284,89174.0642857143,89174.0642857143,2.0
2025-12,2025-12-29 05:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,89946.6,90486.43678571428,88866.92642857146,88866.92642857146,2.0
2025-12,2025-12-29 06:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,89932.0,90484.76535714284,88826.4692857143,88826.4692857143,2.0
2025-12,2025-12-29 04:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3038.14,3059.669,2995.082,2995.082,2.0
2025-12,2025-12-29 05:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3035.41,3059.7249285714283,2986.780142857143,2986.780142857143,2.0
2025-12,2025-12-29 05:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3035.77,3059.6462857142856,2988.017428571429,2988.017428571429,2.0
2025-12,2025-12-29 06:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3036.0,3059.6244285714283,2988.751142857144,2988.751142857144,2.0
2025-12,2025-12-29 06:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3034.95,3059.584357142857,2985.681285714285,2985.681285714285,2.0
2026-01,2026-01-14 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97209.2,97539.66285714286,96548.27428571427,97539.66285714286,-1.0
2026-01,2026-01-14 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96917.5,97842.73392857144,95067.03214285716,97842.73392857144,-1.0
2026-01,2026-01-14 18:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96985.3,97845.36107142858,95265.17785714286,97845.36107142858,-1.0
2026-01,2026-01-14 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96759.2,97851.66107142856,94574.27785714286,97851.66107142856,-1.0
2026-01,2026-01-14 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97216.4,97861.1175,95926.965,97861.1175,-1.0
2026-01,2026-01-13 23:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3324.45,3387.4843571428573,3198.381285714285,3387.4843571428573,-1.0
2026-01,2026-01-13 22:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3329.55,3387.468392857143,3213.7132142857145,3387.468392857143,-1.0
2026-01,2026-01-14 00:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3325.95,3387.389964285714,3203.0700714285717,3387.389964285714,-1.0
2026-01,2026-01-14 01:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3335.58,3387.4028214285718,3231.934357142857,3387.4028214285718,-1.0
2026-01,2026-01-14 01:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3335.11,3387.325142857143,3230.6797142857145,3387.325142857143,-1.0
2026-01,2026-01-05 22:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3344,2.354336428571429,2.294527142857143,2.354336428571429,-1.0
2026-01,2026-01-05 21:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3238,2.3545775,2.262245,2.3545775,-1.0
2026-01,2026-01-05 21:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3348,2.354414642857143,2.2955707142857142,2.354414642857143,-1.0
2026-01,2026-01-05 22:00:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.3279,2.3543375,2.275025,2.3543375,-1.0
2026-01,2026-01-06 01:30:00+00:00,XRPUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,2.373,2.409442857142857,2.3001142857142867,2.409442857142857,-1.0
