idx,timestamp,reason,side,entry,sl,tp,rr,score,notes,outcome,exit_price,exit_idx,bars_held,ctx_label,ctx_sub_label,htf_trend,ctx_tts_dir,ctx_tdp_dir,impulse_atr,range_width_atr,dev_count,pos_in_range
96,2025-02-10 05:15:00,OK,SHORT,96973.2,97198.2,96298.2,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97198.2,97,1,NONE,,DOWN,,,0.052914930491537414,6.574357461558332,0.0,0.911660777385159
97,2025-02-10 05:30:00,OK,SHORT,97152.6,97220.8,96948.0,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97152.6,98,1,NONE,,DOWN,,,0.7139815997482492,6.659336184076607,0.0,0.9734589041095902
98,2025-02-10 05:45:00,OK,SHORT,96983.1,97631.8,95037.0,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97631.8,107,9,NONE,,DOWN,,,0.24514083066224013,7.114574098070025,1.0,0.7823592565255332
126,2025-02-10 12:45:00,OK,LONG,97322.0,97135.4,97881.80000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,97322.0,127,1,NONE,,DOWN,,,4.126193068989806,14.734930497726003,2.0,0.8127567633364773
172,2025-02-11 00:15:00,OK,SHORT,97728.9,97822.0,97449.59999999998,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97822.0,173,1,NONE,,UP,,,3.8750853242320726,8.56033371255216,3.0,0.6188910940213332
191,2025-02-11 05:00:00,OK,SHORT,98123.9,98250.0,97745.59999999998,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,98250.0,193,2,NONE,,UP,,,2.012788490358656,7.139640989775787,1.0,0.8566577417880221
227,2025-02-11 14:00:00,OK,LONG,96877.4,96551.3,97855.69999999995,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96877.4,231,4,NONE,,UP,,,1.3946100207307048,7.190533882562058,2.0,0.1709388268595648
236,2025-02-11 16:15:00,OK,LONG,96608.7,96410.0,97204.8,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96410.0,237,1,NONE,,UP,,,1.6310455420141041,5.257216164207826,2.0,0.09697413372376627
237,2025-02-11 16:30:00,OK,LONG,96465.5,96359.4,96783.80000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96359.4,238,1,NONE,,UP,,,2.440606235983486,5.316212110251034,2.0,0.0505334349399912
240,2025-02-11 17:15:00,OK,LONG,96224.8,96030.0,96809.2,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96030.0,242,2,NONE,,UP,,,2.9492737520454004,6.869760206864459,3.0,0.08019761218608601
242,2025-02-11 17:45:00,OK,LONG,96115.5,95914.4,96718.80000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95914.4,243,1,NONE,,UP,,,3.6796299832389034,7.558271274902901,3.0,0.07903010296313973
247,2025-02-11 19:00:00,OK,LONG,95363.3,95333.1,95453.9,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95333.1,248,1,NONE,,UP,,,6.164280435987394,10.105902457047774,5.0,0.009661217569339117
249,2025-02-11 19:30:00,OK,LONG,95010.2,94821.9,95575.1,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95010.2,250,1,NONE,,UP,,,6.7562724014336535,10.863500597371521,6.0,0.051772016166726956
