idx,timestamp,reason,side,entry,sl,tp,rr,score,notes,outcome,exit_price,exit_idx,bars_held
96,2025-02-10 05:15:00,OK,SHORT,96973.2,97198.2,96298.2,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97198.2,97,1
97,2025-02-10 05:30:00,OK,SHORT,97152.6,97220.8,96948.00000000001,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97220.8,98,1
98,2025-02-10 05:45:00,OK,SHORT,96983.1,97631.8,95037.00000000001,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97631.8,107,9
126,2025-02-10 12:45:00,OK,LONG,97322.0,97135.4,97881.80000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,WIN,97881.80000000002,130,4
172,2025-02-11 00:15:00,OK,SHORT,97728.9,97822.0,97449.59999999998,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97822.0,173,1
191,2025-02-11 05:00:00,OK,SHORT,98123.9,98250.0,97745.59999999998,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,98250.0,193,2
227,2025-02-11 14:00:00,OK,LONG,96877.4,96551.3,97855.69999999997,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96551.3,236,9
236,2025-02-11 16:15:00,OK,LONG,96608.7,96410.0,97204.79999999999,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96410.0,237,1
237,2025-02-11 16:30:00,OK,LONG,96465.5,96359.4,96783.80000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96359.4,238,1
240,2025-02-11 17:15:00,OK,LONG,96224.8,96030.0,96809.20000000001,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,96030.0,242,2
242,2025-02-11 17:45:00,OK,LONG,96115.5,95914.4,96718.80000000002,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95914.4,243,1
247,2025-02-11 19:00:00,OK,LONG,95363.3,95333.1,95453.9,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95333.1,248,1
249,2025-02-11 19:30:00,OK,LONG,95010.2,94821.9,95575.1,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,WIN,95575.1,256,7
278,2025-02-12 02:45:00,OK,LONG,95531.7,95266.6,96326.99999999997,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,95266.6,279,1
279,2025-02-12 03:00:00,OK,LONG,95346.3,95050.0,96235.20000000001,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,WIN,96235.20000000001,301,22
335,2025-02-12 17:00:00,OK,SHORT,97032.0,97200.0,96528.0,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97200.0,336,1
337,2025-02-12 17:30:00,OK,SHORT,97145.2,97675.0,95555.79999999999,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97675.0,353,16
354,2025-02-12 21:45:00,OK,SHORT,97606.9,97878.0,96793.59999999998,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,LOSS,97878.0,356,2
357,2025-02-12 22:30:00,OK,SHORT,97791.1,98089.1,96897.1,3.0,0.7000000000000001,sdir=UP range=True dev=True sweep=True ob=True rr=3.00,WIN,96897.1,382,25
374,2025-02-13 02:45:00,OK,LONG,97442.2,97328.3,97783.89999999998,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,LOSS,97328.3,380,6
429,2025-02-13 16:30:00,OK,LONG,95449.3,95156.1,96328.9,3.0,0.7000000000000001,sdir=DOWN range=True dev=True sweep=True ob=True rr=3.00,WIN,96328.9,439,10
