year_month,trades,wins,losses,expectancy_R,total_R
2025-02,85,45,40,0.758916923388729,64.50793848804196
2025-03,192,98,94,0.5594000013158581,107.40480025264476
2025-04,118,55,63,0.43728813559322033,51.6
2025-05,87,40,47,0.4712643678160941,41.000000000000185
2025-06,241,97,144,0.2654230713138649,63.966960186641444
2025-07,73,18,55,-0.2661037199696802,-19.425571557786654
2025-08,176,80,96,0.5068344684395968,89.20286644536904
2025-09,187,81,106,0.3180847396036934,59.48184630589066
2025-10,225,82,143,0.10755555555555574,24.200000000000042
2025-11,227,90,137,0.1894273127753304,43.0
2025-12,197,82,115,0.2581486525525145,50.85528455284536
2026-01,228,100,128,0.3157894736842105,72.0
