symbol,year_month,trades,wins,losses,expectancy_R,total_R
BTCUSDT,2025-02,28,11,17,0.36881771249908396,10.32689594997435
BTCUSDT,2025-03,63,39,24,0.8920634920634902,56.19999999999988
BTCUSDT,2025-04,55,19,36,0.05454545454545422,2.999999999999982
BTCUSDT,2025-05,31,12,19,0.23870967741935925,7.400000000000137
BTCUSDT,2025-06,85,37,48,0.373121318361413,31.715312060720105
BTCUSDT,2025-07,28,7,21,-0.2662882394577148,-7.456070704816014
BTCUSDT,2025-08,23,13,10,0.7468154486038464,17.176755317888468
BTCUSDT,2025-09,92,41,51,0.3595364448057929,33.077352922132945
BTCUSDT,2025-10,91,33,58,0.09890109890109913,9.000000000000021
BTCUSDT,2025-11,97,37,60,0.14432989690721648,14.0
BTCUSDT,2025-12,92,35,57,0.14565217391304316,13.39999999999997
BTCUSDT,2026-01,79,29,50,0.10126582278481013,8.0
ETHUSDT,2025-02,20,12,8,1.210740164779998,24.21480329559996
ETHUSDT,2025-03,58,24,34,0.2690482802180154,15.604800252644894
ETHUSDT,2025-04,32,22,10,1.11875,35.8
ETHUSDT,2025-05,21,12,9,0.8285714285714272,17.39999999999997
ETHUSDT,2025-06,76,30,46,0.23184970747315922,17.6205777679601
ETHUSDT,2025-07,22,6,16,-0.22588640240775498,-4.96950085297061
ETHUSDT,2025-08,92,32,60,0.04782608695652132,4.399999999999961
ETHUSDT,2025-09,34,19,15,0.6766027465811112,23.00449338375778
ETHUSDT,2025-10,55,15,40,-0.17454545454545453,-9.6
ETHUSDT,2025-11,35,17,18,0.45714285714285713,16.0
ETHUSDT,2025-12,49,20,29,0.22857142857142834,11.199999999999989
ETHUSDT,2026-01,51,19,32,0.11764705882352941,6.0
XRPUSDT,2025-02,37,22,15,0.8098983579045312,29.966239242467655
XRPUSDT,2025-03,71,35,36,0.5014084507042251,35.59999999999999
XRPUSDT,2025-04,31,14,17,0.4129032258064522,12.800000000000018
XRPUSDT,2025-05,35,16,19,0.4628571428571452,16.20000000000008
XRPUSDT,2025-06,80,30,50,0.18288837947451547,14.631070357961239
XRPUSDT,2025-07,23,5,18,-0.3043478260869578,-7.00000000000003
XRPUSDT,2025-08,61,35,26,1.1086247725816494,67.62611112748061
XRPUSDT,2025-09,61,21,40,0.055737704918031886,3.399999999999945
XRPUSDT,2025-10,79,34,45,0.3139240506329116,24.80000000000002
XRPUSDT,2025-11,95,36,59,0.1368421052631579,13.0
XRPUSDT,2025-12,56,27,29,0.4688443670150965,26.255284552845406
XRPUSDT,2026-01,98,52,46,0.5918367346938775,58.0
