period,timestamp,symbol,model,side,ctx_sub_label,phase,entry,sl,tp,exit_price,R
2026-01,2026-01-02 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,90557.8,91052.52642857142,89568.34714285716,89568.34714285716,2.0
2026-01,2026-01-14 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97510.8,97856.83928571428,96818.72142857146,96818.72142857146,2.0
2026-01,2026-01-05 00:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92371.2,92436.79035714286,92240.01928571428,92240.01928571428,2.0
2026-01,2026-01-05 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92934.1,93010.665,92780.97,92780.97,2.0
2026-01,2026-01-05 02:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93004.8,93452.06035714284,92110.2792857143,92110.2792857143,2.0
2026-01,2026-01-05 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93385.1,93699.00642857145,92757.28714285717,92757.28714285717,2.0
2026-01,2026-01-05 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93905.0,94058.9875,93597.02500000002,93597.02500000002,2.0
2026-01,2026-01-05 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94404.6,94561.525,94090.75000000004,94090.75000000004,2.0
2026-01,2026-01-13 09:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92530.0,92707.33142857144,92175.33714285714,92175.33714285714,2.0
2026-01,2026-01-12 04:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92128.3,92572.61392857145,91239.67214285716,91239.67214285716,2.0
2026-01,2026-01-12 03:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92350.0,92565.79,91918.42,91918.42,2.0
2026-01,2026-01-12 05:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92064.2,92571.67642857145,91049.24714285712,91049.24714285712,2.0
2026-01,2026-01-12 05:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92188.2,92571.91428571429,91420.77142857142,91420.77142857142,2.0
2026-01,2026-01-05 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94681.0,94833.31392857144,94376.37214285714,94376.37214285714,2.0
2026-01,2026-01-05 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94124.8,94838.09464285712,92698.21071428574,92698.21071428574,2.0
2026-01,2026-01-05 17:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94272.2,94523.11214285716,93770.37571428568,93770.37571428568,2.0
2026-01,2026-01-13 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93414.9,93480.56821428573,93283.56357142856,93283.56357142856,2.0
2026-01,2026-01-13 19:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93818.0,93927.38392857142,93599.23214285716,93599.23214285716,2.0
2026-01,2026-01-13 19:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94180.0,94290.32607142856,93959.34785714286,93959.34785714286,2.0
2026-01,2026-01-14 17:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97491.0,97837.47857142855,96798.04285714286,96798.04285714286,2.0
2026-01,2026-01-02 17:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3131.69,3154.031892857143,3087.0062142857146,3087.0062142857146,2.0
2026-01,2026-01-04 00:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3155.69,3167.1087857142857,3132.852428571429,3132.852428571429,2.0
2026-01,2026-01-14 19:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3389.95,3407.1403571428573,3355.569285714285,3355.569285714285,2.0
2026-01,2026-01-14 16:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3369.32,3406.3115,3295.337000000001,3295.337000000001,2.0
2026-01,2026-01-14 17:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3369.81,3406.2262142857144,3296.977571428571,3296.977571428571,2.0
2026-01,2026-01-06 14:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3304.73,3310.1722142857143,3293.8455714285715,3293.8455714285715,2.0
2026-01,2026-01-06 14:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3276.48,3310.490642857143,3208.458714285714,3208.458714285714,2.0
2026-01,2026-01-06 15:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3295.68,3310.67825,3265.6835,3265.6835,2.0
2026-01,2026-01-12 03:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3162.74,3173.6306428571424,3140.9587142857144,3140.9587142857144,2.0
2026-01,2026-01-12 04:30:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3157.71,3173.592392857143,3125.9452142857144,3125.9452142857144,2.0
2026-01,2026-01-12 04:00:00+00:00,ETHUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,3154.41,3173.6433928571428,3115.943214285714,3115.943214285714,2.0
