period,timestamp,symbol,model,side,ctx_sub_label,phase,entry,sl,tp,exit_price,R
2026-01,2026-01-13 18:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,93584.0,93913.85964285716,92924.2807142857,93913.85964285716,-1.0
2026-01,2026-01-13 20:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94304.1,94566.30964285714,93779.68071428571,94566.30964285714,-1.0
2026-01,2026-01-13 14:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92419.1,92936.09785714286,91385.1042857143,92936.09785714286,-1.0
2026-01,2026-01-13 11:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,92170.7,92710.82,91090.45999999998,92710.82,-1.0
2026-01,2026-01-13 21:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94300.8,94561.66857142856,93779.06285714288,94561.66857142856,-1.0
2026-01,2026-01-13 20:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94354.7,94563.83142857144,93936.43714285712,94563.83142857144,-1.0
2026-01,2026-01-13 21:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,94047.9,94558.52714285714,93026.6457142857,94558.52714285714,-1.0
2026-01,2026-01-13 22:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95724.1,96747.04714285716,93678.20571428572,96747.04714285716,-1.0
2026-01,2026-01-14 00:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95427.1,96745.27392857143,92790.75214285716,96745.27392857143,-1.0
2026-01,2026-01-14 01:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95445.1,96743.46321428572,92848.3735714286,96743.46321428572,-1.0
2026-01,2026-01-13 23:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95350.0,96748.62107142856,92552.75785714286,96748.62107142856,-1.0
2026-01,2026-01-13 23:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,95389.5,96746.265,92675.97,96746.265,-1.0
2026-01,2026-01-14 15:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96708.6,97164.71857142856,95796.36285714289,97164.71857142856,-1.0
2026-01,2026-01-14 15:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,96707.8,97161.20214285716,95800.99571428572,97161.20214285716,-1.0
2026-01,2026-01-14 16:30:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97241.5,97750.19535714285,96224.10928571432,97750.19535714285,-1.0
2026-01,2026-01-14 16:00:00+00:00,BTCUSDT,TDP_REENTRY,SHORT,TDP_TOP,PHASE_TREND_DOWN,97209.2,97539.66285714286,96548.27428571427,97539.66285714286,-1.0
