year_month,dim,bucket,trades,total_R,expectancy_R,winrate_WL
2025-12,model,TDP_REENTRY,50,-17.7,-0.354,0.38
2025-12,side,LONG,27,-10.0,-0.37037037037037035,0.37037037037037035
2025-12,phase,PHASE_TREND_UP,27,-10.0,-0.37037037037037035,0.37037037037037035
2025-12,ctx_sub_label,TDP_BOT,27,-10.0,-0.37037037037037035,0.37037037037037035
2025-12,side,SHORT,24,-8.700000000000001,-0.36250000000000004,0.375
2025-12,phase,PHASE_TREND_DOWN,23,-7.7,-0.3347826086956522,0.391304347826087
2025-12,ctx_sub_label,TDP_TOP,23,-7.7,-0.3347826086956522,0.391304347826087
2025-12,model,RANGE_FADE,1,-1.0,-1.0,0.0
2025-12,phase,PHASE_RANGE,1,-1.0,-1.0,0.0
2025-12,ctx_sub_label,RANGE_TOP_SHORT,1,-1.0,-1.0,0.0
