RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,821,21.1009,0.053228,1.525141
3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,821,14.0,0.047381,1.357619
2.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,904,21.3552,0.047235,1.420181
2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,25.5226,0.046778,1.842853
2.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,874,21.3983,0.04611,1.363168
2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,25.5491,0.045825,1.758743
2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,1351,25.5346,0.044189,1.624227
2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,22.5956,0.042332,1.667706
2.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,22.439,0.039986,1.534666
3.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,904,13.7387,0.038938,1.170735
3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,17.0343,0.037693,1.484944
3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1552,15.3359,0.037113,1.462098
3.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,874,13.5198,0.036499,1.079034
2.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,1351,22.2812,0.036195,1.330397
3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,16.6882,0.034623,1.328828
3.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1473,14.9733,0.033469,1.284534
2.0,0.15,4,True,20,1.2,24,200,1.0,1.0,0.7,980,21.4418,0.032347,1.012619
2.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,1748,23.3533,0.032208,1.346597
3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,1351,16.5021,0.031976,1.17532
