RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,26.80067,0.067025,2.142719
2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,26.762821,0.065197,2.12866
2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,942,26.727273,0.066348,2.03636
2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,23.905724,0.059099,1.929576
3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,18.246869,0.057317,1.871383
3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,18.011257,0.057632,1.842425
2.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,23.591549,0.056751,1.814273
3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,16.451017,0.054315,1.773372
2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,561,21.843003,0.07451,1.764797
3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,561,15.498155,0.07344,1.739465
