RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,26.80067,0.067025,2.142719
2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,26.762821,0.065197,2.12866
2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,942,26.727273,0.066348,2.03636
2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,23.905724,0.059099,1.929576
3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,18.246869,0.057317,1.871383
3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,18.011257,0.057632,1.842425
2.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,23.591549,0.056751,1.814273
3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1066,16.451017,0.054315,1.773372
2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,561,21.843003,0.07451,1.764797
3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,561,15.498155,0.07344,1.739465
2.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,942,23.518164,0.056476,1.73335
3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,942,17.755102,0.055839,1.713801
3.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,1022,16.054159,0.051174,1.635973
2.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,599,22.012579,0.066277,1.622098
3.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,942,16.142558,0.051699,1.586732
2.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,613,21.779141,0.062316,1.542883
2.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,1172,23.838081,0.044539,1.524778
3.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,599,15.068493,0.06227,1.524037
2.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,1204,26.315789,0.043522,1.510143
2.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,1184,23.851852,0.043581,1.499595
2.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,1168,23.644578,0.042723,1.460088
3.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,613,15.0,0.058891,1.458065
2.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,789,23.234624,0.051458,1.445398
3.0,0.15,8,True,20,1.2,24,200,1.0,1.0,0.7,1168,17.021277,0.042209,1.442532
3.0,0.15,8,True,20,1.0,24,200,1.0,1.0,0.7,1184,16.962843,0.041807,1.438565
2.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,842,23.354565,0.049525,1.437077
2.0,0.15,8,True,30,1.0,24,200,1.0,1.0,0.7,1204,23.726346,0.041362,1.435212
2.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,1168,25.968436,0.041952,1.433754
2.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,1195,26.117318,0.041339,1.429035
2.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,1184,26.093089,0.041385,1.424034
2.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,1172,26.173542,0.041382,1.4167
3.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1142,17.166667,0.041331,1.396719
3.0,0.15,8,True,30,1.5,24,200,1.0,1.0,0.7,1172,16.584565,0.0407,1.393332
2.0,0.15,8,True,20,1.5,24,200,1.0,1.0,0.7,1142,23.655914,0.041068,1.387841
