RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,folds_seen,test_trades_total,test_expectancy_R_mean,test_expectancy_R_median,test_expectancy_R_sqrtN_mean,test_winrate_mean
2.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,2,372,0.09237949999999999,0.09237949999999999,1.1105200000000002,25.4531085
3.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,2,372,0.09337250000000001,0.09337250000000001,1.106137,18.855932
2.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,2,519,0.075243,0.075243,1.0653945,25.715927999999998
2.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,2,557,0.06371850000000001,0.06371850000000001,0.9270799999999999,25.1443005
2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,3,1102,0.044722000000000005,-0.02203,0.73321,25.139396333333334
3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,3,1102,0.03866166666666667,-0.034509,0.6073186666666666,17.336985
2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,3,1044,0.03585066666666667,-0.0289,0.5526033333333333,24.91916833333333
2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,3,953,0.03573933333333334,-0.019444,0.5256613333333333,25.159531666666666
3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,3,1044,0.02720233333333333,-0.046322,0.3809473333333333,16.710591
3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,3,953,0.025630666666666663,-0.040278,0.33480133333333334,16.660619666666665
2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,1,397,-0.012594,-0.012594,-0.250943,20.434783
2.0,0.25,8,True,30,1.5,24,200,1.0,1.0,0.7,1,469,-0.031983,-0.031983,-0.692636,23.825503
2.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,1,477,-0.04109,-0.04109,-0.897422,23.355263
2.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,1,479,-0.041545,-0.041545,-0.909254,23.278689
