wf_fold,RR,SL_ATR_BUFFER,TDP_DEV_LOOKBACK,REQUIRE_IMPULSE_BEFORE_TDP,IMPULSE_LOOKBACK,IMPULSE_SIZE_ATR,TTS_RETEST_LOOKBACK,MAX_HOLD_BARS,BE_AFTER_R,PARTIAL_AT_R,PARTIAL_FRAC,trades_total,winrate(W/L)%,expectancy_R,expectancy_R_sqrtN
1,2.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,404,29.113924,0.092079,1.850769
1,2.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,374,28.767123,0.088235,1.706389
1,3.0,0.25,8,True,10,1.2,24,200,1.0,1.0,0.7,404,19.230769,0.078713,1.582109
1,2.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,422,28.571429,0.073934,1.518792
1,3.0,0.25,8,True,10,1.5,24,200,1.0,1.0,0.7,374,18.75,0.073797,1.427162
1,3.0,0.25,8,True,10,1.0,24,200,1.0,1.0,0.7,422,18.918919,0.061137,1.255924
1,2.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,332,26.767677,0.049096,0.894579
1,3.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,221,17.54386,0.058371,0.867748
1,2.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,313,26.344086,0.045367,0.802631
1,2.0,0.25,4,True,10,1.5,24,200,1.0,1.0,0.7,221,22.95082,0.052941,0.787027
1,3.0,0.25,6,True,10,1.2,24,200,1.0,1.0,0.7,332,18.079096,0.04006,0.729932
1,3.0,0.25,6,True,10,1.5,24,200,1.0,1.0,0.7,313,17.964072,0.0377,0.666975
1,3.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,235,17.073171,0.042553,0.652328
1,2.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,340,25.980392,0.034412,0.634522
1,2.0,0.25,4,True,10,1.2,24,200,1.0,1.0,0.7,235,23.308271,0.041277,0.632758
1,2.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,404,22.707424,0.030693,0.616923
1,2.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,235,20.472441,0.035745,0.547956
1,2.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,221,18.965517,0.036652,0.544865
1,3.0,0.15,4,True,10,1.5,24,200,1.0,1.0,0.7,221,12.962963,0.033937,0.504505
1,3.0,0.25,6,True,10,1.0,24,200,1.0,1.0,0.7,340,17.486339,0.025588,0.471824
1,3.0,0.15,8,True,10,1.2,24,200,1.0,1.0,0.7,404,14.903846,0.022525,0.452742
1,3.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,240,16.535433,0.027917,0.432483
1,2.0,0.25,4,True,10,1.0,24,200,1.0,1.0,0.7,240,22.627737,0.026667,0.413118
1,3.0,0.15,4,True,10,1.2,24,200,1.0,1.0,0.7,235,12.931034,0.026809,0.410967
1,2.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,374,22.065728,0.018984,0.367132
1,2.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,422,22.857143,0.016588,0.340755
1,2.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,240,19.847328,0.02125,0.329204
1,2.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,460,25.0,0.012174,0.261101
1,3.0,0.15,8,True,10,1.5,24,200,1.0,1.0,0.7,374,14.871795,0.013369,0.258544
1,2.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,456,24.637681,0.010965,0.234146
1,2.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,467,25.174825,0.010493,0.226745
1,2.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,332,21.989529,0.010843,0.197576
1,3.0,0.15,4,True,10,1.0,24,200,1.0,1.0,0.7,240,12.5,0.0125,0.193649
1,3.0,0.15,8,True,10,1.0,24,200,1.0,1.0,0.7,422,14.864865,0.007346,0.150906
1,3.0,0.25,8,True,20,1.2,24,200,1.0,1.0,0.7,456,17.131474,0.00636,0.135805
1,3.0,0.25,8,True,20,1.0,24,200,1.0,1.0,0.7,460,16.996047,0.005,0.107238
1,2.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,464,24.381625,0.002155,0.046424
1,3.0,0.25,8,True,30,1.0,24,200,1.0,1.0,0.7,467,16.731518,0.000857,0.01851
1,2.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,441,24.444444,0.000227,0.004762
1,3.0,0.15,6,True,10,1.2,24,200,1.0,1.0,0.7,332,13.872832,0.0,0.0
1,2.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,313,21.111111,-0.000639,-0.011305
1,3.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,251,15.441176,-0.003586,-0.056807
1,3.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,253,15.328467,-0.004743,-0.075443
1,3.0,0.25,8,True,20,1.5,24,200,1.0,1.0,0.7,441,17.073171,-0.003855,-0.080952
1,3.0,0.15,6,True,10,1.5,24,200,1.0,1.0,0.7,313,13.939394,-0.007348,-0.130004
1,2.0,0.15,6,True,10,1.0,24,200,1.0,1.0,0.7,340,21.212121,-0.007941,-0.146428
1,2.0,0.25,4,True,20,1.0,24,200,1.0,1.0,0.7,253,20.0,-0.010672,-0.169748
1,2.0,0.25,4,True,20,1.2,24,200,1.0,1.0,0.7,251,19.58042,-0.011952,-0.189358
1,3.0,0.25,8,True,30,1.2,24,200,1.0,1.0,0.7,464,15.748031,-0.009483,-0.204265
