cycle_ts,latest_ts,source,interval_min,symbols,once,new_candle,note,raw_entries,kept_after_invalidation,dropped_invalidation,kept_after_live_guard,dropped_live_guard,kept_after_window,after_context,after_regime,after_emit_last_candles,written_entries,written_closed,written_dropped
2026-03-19 10:52:47,2026-03-19 10:45:00+00:00,bybit,15,ETHUSDT,True,True,,44,3,0,,,,3,3,,0,,
2026-03-19 10:52:48,2026-03-19 10:45:00+00:00,bybit,15,SOLUSDT,True,True,,42,3,0,,,,3,3,,0,,
2026-03-19 10:52:49,2026-03-19 10:45:00+00:00,bybit,15,XRPUSDT,True,True,,22,3,0,,,,3,3,,0,,
2026-03-19 10:52:50,2026-03-19 10:45:00+00:00,bybit,15,BNBUSDT,True,True,,26,3,0,,,,3,3,,0,,
2026-03-19 11:14:01,2026-03-19 11:00:00+00:00,bybit,15,ETHUSDT,True,True,,44,3,0,,,,3,3,,0,,
2026-03-19 11:14:02,2026-03-19 11:00:00+00:00,bybit,15,SOLUSDT,True,True,,42,3,0,,,,3,3,,0,,
2026-03-19 11:14:03,2026-03-19 11:00:00+00:00,bybit,15,XRPUSDT,True,True,,22,3,0,,,,3,3,,0,,
2026-03-19 11:14:04,2026-03-19 11:00:00+00:00,bybit,15,BNBUSDT,True,True,,26,3,0,,,,3,3,,0,,
2026-03-19 11:26:20,2026-03-19 11:15:00+00:00,bybit,15,ETHUSDT,True,True,,44,3,0,,,,3,3,,0,,
2026-03-19 11:26:21,2026-03-19 11:15:00+00:00,bybit,15,SOLUSDT,True,True,,42,3,0,,,,3,3,,0,,
2026-03-19 11:26:23,2026-03-19 11:15:00+00:00,bybit,15,XRPUSDT,True,True,,22,3,0,,,,3,3,,0,,
2026-03-19 11:26:24,2026-03-19 11:15:00+00:00,bybit,15,BNBUSDT,True,True,,26,3,0,,,,3,3,,0,,
2026-03-19 11:48:38,2026-03-19 11:45:00+00:00,bybit,15,ETHUSDT,True,True,,44,3,0,,,,3,3,,1,,
2026-03-19 11:48:40,2026-03-19 11:45:00+00:00,bybit,15,SOLUSDT,True,True,,42,3,0,,,,3,3,,1,,
2026-03-19 11:48:41,2026-03-19 11:45:00+00:00,bybit,15,XRPUSDT,True,True,,22,3,0,,,,3,3,,3,,
2026-03-19 11:48:43,2026-03-19 11:45:00+00:00,bybit,15,BNBUSDT,True,True,,26,3,0,,,,3,3,,3,,
2026-03-19 12:02:33,2026-03-19 12:00:00+00:00,bybit,15,ETHUSDT,True,True,,44,3,0,,,,3,3,,1,,
2026-03-19 12:02:34,2026-03-19 12:00:00+00:00,bybit,15,SOLUSDT,True,True,,42,3,0,,,,3,3,,1,,
