i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
-1,0,2025-12-29T03:30:00+00:00,,,,0.0,0.0,0.0,10000.0
0,1,2025-12-29T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.0,50.0,10050.0
1,1,2025-12-29T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.125,50.25,10100.25
2,1,2025-12-29T04:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.250625,-25.250625,10074.999375
3,1,2025-12-29T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.1874984375,50.374996875,10125.374371875
4,1,2025-12-29T04:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.3134359296875,50.626871859375,10176.001243734374
5,1,2025-12-29T04:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.440003109335937,50.88000621867187,10226.881249953045
6,1,2025-12-29T05:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.567203124882614,51.13440624976523,10278.01565620281
7,1,2025-12-29T05:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.695039140507024,51.39007828101405,10329.405734483824
8,1,2025-12-29T05:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.82351433620956,51.64702867241912,10381.052763156244
9,1,2025-12-29T05:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.95263190789061,51.90526381578122,10432.958026972025
10,1,2025-12-29T06:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.082395067430063,52.16479013486013,10485.122817106885
11,1,2025-12-29T06:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.212807042767214,52.42561408553443,10537.54843119242
12,1,2025-12-29T06:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.34387107798105,52.6877421559621,10590.236173348381
13,1,2026-01-02T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.475590433370954,52.95118086674191,10643.187354215122
14,1,2026-01-02T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.607968385537806,-26.607968385537806,10616.579385829584
15,1,2026-01-02T09:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.54144846457396,53.08289692914792,10669.662282758733
16,1,2026-01-02T10:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.674155706896833,-26.674155706896833,10642.988127051836
17,1,2026-01-02T10:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.60747031762959,-26.60747031762959,10616.380656734207
18,1,2026-01-02T11:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.54095164183552,-26.54095164183552,10589.839705092372
19,1,2026-01-02T11:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.47459926273093,-26.47459926273093,10563.365105829642
20,1,2026-01-02T14:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.408412764574106,52.81682552914821,10616.18193135879
21,1,2026-01-02T14:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.540454828396975,53.08090965679395,10669.262841015583
22,1,2026-01-02T15:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.67315710253896,-26.67315710253896,10642.589683913044
23,1,2026-01-02T15:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.60647420978261,-26.60647420978261,10615.983209703261
24,1,2026-01-02T15:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,26.539958024258155,-26.539958024258155,10589.443251679004
25,1,2026-01-02T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.473608129197512,52.947216258395024,10642.390467937399
26,1,2026-01-02T16:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.605976169843498,-26.605976169843498,10615.784491767556
27,1,2026-01-02T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.53946122941889,-26.53946122941889,10589.245030538137
28,1,2026-01-02T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.473112576345343,52.94622515269069,10642.191255690828
29,1,2026-01-02T16:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.60547813922707,-26.60547813922707,10615.585777551601
30,1,2026-01-02T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,26.538964443879003,53.077928887758006,10668.66370643936
31,1,2026-01-02T17:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,26.671659266098402,53.343318532196804,10722.007024971557
32,1,2026-01-02T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,26.805017562428894,53.61003512485779,10775.617060096414
33,1,2026-01-02T17:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,26.939042650241035,-26.939042650241035,10748.678017446173
34,1,2026-01-02T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,26.871695043615432,-26.871695043615432,10721.806322402557
