file,rel_file,filename,folder,rel_folder,rows,columns,pnl_source,equity_source,time_col,first_ts,last_ts,total_pnl,winrate,profit_factor,max_drawdown,score
C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\equity_simulated\equity_curve.csv,backtest/reports/equity_simulated/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\equity_simulated,backtest/reports/equity_simulated,200,"timestamp, symbol, model, side, R, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,6582.994586615214,0.42,1.4639048862428485,-2167.791173742269,4981.593901497229
C:\Users\37065\PycharmProjects\PythonProject\reports\equity_simulated\equity_curve.csv,reports/equity_simulated/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\reports\equity_simulated,reports/equity_simulated,200,"timestamp, symbol, model, side, R, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,6582.994586615214,0.42,1.4639048862428485,-2167.791173742269,4981.593901497229
C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\prop_rules_equitycurve\equity_curve.csv,backtest/reports/prop_rules_equitycurve/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\prop_rules_equitycurve,backtest/reports/prop_rules_equitycurve,200,"i, timestamp, symbol, side, model, R, risk_usd, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,6752.523961269972,0.425,1.4020116193690482,-4404.407351958218,2913.3177712486586
C:\Users\37065\PycharmProjects\PythonProject\reports\prop_rules_equitycurve\equity_curve.csv,reports/prop_rules_equitycurve/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\reports\prop_rules_equitycurve,reports/prop_rules_equitycurve,200,"i, timestamp, symbol, side, model, R, risk_usd, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,6752.523961269972,0.425,1.4020116193690482,-4404.407351958218,2913.3177712486586
C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\prop_rules\equity_curve.csv,backtest/reports/prop_rules/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\prop_rules,backtest/reports/prop_rules,201,"i, is_trade, timestamp, symbol, side, model, R, risk_usd, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,6620.121530656836,0.425,1.4020116193690486,-4318.046423488446,2867.276269105295
C:\Users\37065\PycharmProjects\PythonProject\reports\prop_rules\equity_curve.csv,reports/prop_rules/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\reports\prop_rules,reports/prop_rules,201,"i, is_trade, timestamp, symbol, side, model, R, risk_usd, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,6620.121530656836,0.425,1.4020116193690486,-4318.046423488446,2867.276269105295
C:\Users\37065\PycharmProjects\PythonProject\reports\prop_rules_10k\equity_curve.csv,reports/prop_rules_10k/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\reports\prop_rules_10k,reports/prop_rules_10k,225,"i, is_trade, timestamp, symbol, side, model, R, risk_usd, pnl, equity",pnl,equity,timestamp,2026-01-02 16:00:00+00:00,2026-01-14 20:00:00+00:00,2163.525600664936,0.45089285714285715,1.6457026513069266,-763.069765395283,2015.9189575432033
C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\equity_10k\equity_curve.csv,backtest/reports/equity_10k/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\equity_10k,backtest/reports/equity_10k,200,"timestamp, symbol, model, side, R, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,1401.875442371384,0.425,1.4623144976924556,-491.3275837113142,1481.7793084293153
C:\Users\37065\PycharmProjects\PythonProject\reports\equity_10k\equity_curve.csv,reports/equity_10k/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\reports\equity_10k,reports/equity_10k,200,"timestamp, symbol, model, side, R, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,1401.875442371384,0.425,1.4623144976924556,-491.3275837113142,1481.7793084293153
C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\prop_rules_10k\equity_curve.csv,backtest/reports/prop_rules_10k/equity_curve.csv,equity_curve.csv,C:\Users\37065\PycharmProjects\PythonProject\backtest\reports\prop_rules_10k,backtest/reports/prop_rules_10k,201,"i, is_trade, timestamp, symbol, side, model, R, risk_usd, pnl, equity",pnl,equity,timestamp,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,1401.875442371385,0.425,1.445638655529376,-718.7933047009883,1252.6460032233342
