rel_folder,file_count,total_pnl_sum,avg_winrate,avg_profit_factor,worst_drawdown,best_score,first_seen,last_seen,folder_score
backtest/reports/equity_simulated,1,6582.994586615214,0.42,1.4639048862428485,-2167.791173742269,4981.593901497229,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,4981.593901497229
reports/equity_simulated,1,6582.994586615214,0.42,1.4639048862428485,-2167.791173742269,4981.593901497229,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,4981.593901497229
backtest/reports/prop_rules_equitycurve,1,6752.523961269972,0.425,1.4020116193690482,-4404.407351958218,2913.3177712486586,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,2913.3177712486586
reports/prop_rules_equitycurve,1,6752.523961269972,0.425,1.4020116193690482,-4404.407351958218,2913.3177712486586,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,2913.3177712486586
backtest/reports/prop_rules,1,6620.121530656836,0.425,1.4020116193690486,-4318.046423488446,2867.276269105295,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,2867.276269105295
reports/prop_rules,1,6620.121530656836,0.425,1.4020116193690486,-4318.046423488446,2867.276269105295,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,2867.276269105295
reports/prop_rules_10k,1,2163.525600664936,0.45089285714285715,1.6457026513069266,-763.069765395283,2015.9189575432033,2026-01-02 16:00:00+00:00,2026-01-14 20:00:00+00:00,2015.9189575432033
backtest/reports/equity_10k,1,1401.875442371384,0.425,1.4623144976924556,-491.3275837113142,1481.7793084293153,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,1481.7793084293153
reports/equity_10k,1,1401.875442371384,0.425,1.4623144976924556,-491.3275837113142,1481.7793084293153,2025-12-29 03:30:00+00:00,2026-01-06 04:30:00+00:00,1481.7793084293153
backtest/reports/prop_rules_10k,1,1401.875442371385,0.425,1.445638655529376,-718.7933047009883,1252.6460032233342,2025-12-29 03:30:00+00:00,2026-01-14 20:00:00+00:00,1252.6460032233342
