i,is_trade,timestamp,symbol,side,model,R,risk_usd,pnl,equity
-1,0,2026-01-02T16:00:00+00:00,,,,0.0,0.0,0.0,10000.0
0,1,2026-01-02T16:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.0,50.0,10050.0
1,1,2026-01-02T16:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.125,-25.125,10024.875
2,1,2026-01-02T16:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.0621875,-25.0621875,9999.8128125
3,1,2026-01-02T16:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,24.999532031250002,-24.999532031250002,9974.81328046875
4,1,2026-01-02T16:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,24.937033201171875,49.87406640234375,10024.687346871095
5,1,2026-01-02T17:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,25.061718367177736,50.12343673435547,10074.81078360545
6,1,2026-01-02T17:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,25.187026959013625,50.37405391802725,10125.184837523477
7,1,2026-01-02T17:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.312962093808693,50.625924187617386,10175.810761711095
8,1,2026-01-02T17:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.439526904277738,-25.439526904277738,10150.371234806817
9,1,2026-01-02T17:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.37592808701704,50.75185617403408,10201.123090980851
10,1,2026-01-02T17:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.50280772745213,-25.50280772745213,10175.620283253398
11,1,2026-01-02T17:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,25.439050708133497,-25.439050708133497,10150.181232545265
12,1,2026-01-02T17:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.375453081363162,-25.375453081363162,10124.8057794639
13,1,2026-01-02T18:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.312014448659752,50.624028897319505,10175.429808361221
14,1,2026-01-02T18:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.438574520903053,-25.438574520903053,10149.991233840317
15,1,2026-01-02T18:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.374978084600794,-25.374978084600794,10124.616255755716
16,1,2026-01-02T18:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.311540639389293,-25.311540639389293,10099.304715116326
17,1,2026-01-02T18:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.248261787790817,-25.248261787790817,10074.056453328536
18,1,2026-01-02T19:00:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,25.18514113332134,50.37028226664268,10124.426735595178
19,1,2026-01-02T19:00:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.311066838987944,-25.311066838987944,10099.11566875619
20,1,2026-01-02T19:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.247789171890478,-25.247789171890478,10073.8678795843
21,1,2026-01-02T19:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,25.184669698960754,-25.184669698960754,10048.68320988534
22,1,2026-01-02T19:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,-1.0,25.12170802471335,-25.12170802471335,10023.561501860626
23,1,2026-01-02T19:30:00+00:00,SOLUSDT,SHORT,TDP_REENTRY,-1.0,25.058903754651567,-25.058903754651567,9998.502598105973
