i,timestamp,symbol,side,model,R,risk_usd,pnl,equity
0,2025-12-29T03:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,102.0,204.0,10404.0
1,2025-12-29T03:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,104.04,208.08,10612.08
2,2025-12-29T04:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,-1.0,106.1208,-106.1208,10505.9592
3,2025-12-29T04:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,105.059592,210.119184,10716.078383999999
4,2025-12-29T04:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,107.16078384,214.32156768,10930.399951679998
5,2025-12-29T04:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,109.30399951679998,218.60799903359995,11149.007950713598
6,2025-12-29T05:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,111.49007950713599,222.98015901427198,11371.98810972787
7,2025-12-29T05:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,113.7198810972787,227.4397621945574,11599.427871922428
8,2025-12-29T05:30:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,115.99427871922428,231.98855743844857,11831.416429360876
9,2025-12-29T05:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,118.31416429360875,236.6283285872175,12068.044757948093
10,2025-12-29T06:00:00+00:00,BTCUSDT,SHORT,TDP_REENTRY,2.0,120.68044757948094,241.36089515896188,12309.405653107055
11,2025-12-29T06:00:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,123.09405653107055,246.1881130621411,12555.593766169195
12,2025-12-29T06:30:00+00:00,ETHUSDT,SHORT,TDP_REENTRY,2.0,125.55593766169196,251.1118753233839,12806.70564149258
13,2026-01-02T03:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,128.0670564149258,256.1341128298516,13062.839754322431
14,2026-01-02T06:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,-1.0,130.6283975432243,-130.6283975432243,12932.211356779208
15,2026-01-02T09:30:00+00:00,XRPUSDT,SHORT,TDP_REENTRY,2.0,129.3221135677921,258.6442271355842,13190.855583914792
